2026-07-01 13:59:55,832 | INFO | log_mbc_annealing_uncertainty | Computing success probabilities (chance constraints)
2026-07-01 13:59:55,836 | INFO | src.metrics.ProbabilisticEvaluation | Probabilistic setpoints (delta=0.50 -> Pr>=0.50): kept 6 / 399 cells.
2026-07-01 13:59:55,836 | INFO | log_mbc_annealing_uncertainty | Feasible cells (Pr >= 0.50): 6
2026-07-01 13:59:55,836 | INFO | log_mbc_annealing_uncertainty | Computing cost functions
2026-07-01 13:59:55,836 | INFO | log_mbc_annealing_uncertainty | Selecting operating points
2026-07-01 13:59:55,846 | INFO | log_mbc_annealing_uncertainty | Selections saved to data\enriched\mbc_annealing_uncertainty_script_results\test_script_run1\mbc_ann_unc.csv
2026-07-01 13:59:55,848 | INFO | log_mbc_annealing_uncertainty | Full feasible grid saved to data\enriched\mbc_annealing_uncertainty_script_results\test_script_run1\mbc_ann_unc_full_grid.csv
2026-07-01 13:59:55,848 | INFO | log_mbc_annealing_uncertainty | Pipeline finished successfully.
2026-07-01 15:07:47,901 | INFO | log_mbc_annealing_uncertainty | Starting uncertainty-aware MBC annealing pipeline
2026-07-01 15:07:47,901 | INFO | log_mbc_annealing_uncertainty | Loading config from config/config_script_annealing_uncertainty.yaml
2026-07-01 15:07:47,973 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'tensile_strength': 210.0} | delta=0.5
2026-07-01 15:07:47,973 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
2026-07-01 15:07:47,989 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 15:07:48,018 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 15:07:48,938 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 15:07:49,802 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 15:07:49,802 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 15:07:49,808 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 15:07:49,808 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
2026-07-01 15:08:40,311 | INFO | log_mbc_annealing_uncertainty | Starting uncertainty-aware MBC annealing pipeline
2026-07-01 15:08:40,311 | INFO | log_mbc_annealing_uncertainty | Loading config from config/config_script_annealing_uncertainty.yaml
2026-07-01 15:08:40,352 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'tensile_strength': 210.0} | delta=0.5
2026-07-01 15:08:40,352 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
2026-07-01 15:08:40,355 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 15:08:40,360 | INFO | src.modeling.MBCInference | Resolved best bundle by rmse: annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 15:08:40,975 | INFO | src.modeling.MBCInference | Loaded surrogate 'iacs' (features=['purity', 'iacs', 'temperature', 'time']) from models\annealing_iacs\experiments\annealing-v1-best-quality\annealing-v1-best-quality__time_limit_a=1500__num_bag_folds_a=20__weight_on_essay_rows=1.0__d91e7f29
2026-07-01 15:08:41,582 | INFO | src.modeling.MBCInference | Loaded surrogate 'tensile_strength' (features=['purity', 'initial_diameter', 'tensile_strength', 'temperature', 'time']) from models\annealing_uts\experiments\annealing-uts-v1-best_quality\annealing-uts-v1-best_quality__time_limit_a=900__num_bag_folds_a=10__df848c54
2026-07-01 15:08:41,582 | INFO | log_mbc_annealing_uncertainty | Building parameter grid
2026-07-01 15:08:41,582 | INFO | log_mbc_annealing_uncertainty | Grid: 21 temps x 19 times = 399 cells
2026-07-01 15:08:41,582 | INFO | log_mbc_annealing_uncertainty | Predicting predictive distributions
2026-07-01 15:09:13,363 | INFO | log_mbc_annealing_uncertainty | Computing success probabilities (chance constraints)
2026-07-01 17:35:52,454 | INFO | log_mbc_annealing_uncertainty | Starting uncertainty-aware MBC annealing pipeline
2026-07-01 17:35:52,454 | INFO | log_mbc_annealing_uncertainty | Loading config from config/config_script_annealing_uncertainty.yaml
2026-07-01 17:35:52,471 | INFO | log_mbc_annealing_uncertainty | material={'purity': 99.95, 'iacs': 98.47, 'initial_diameter': 1.2, 'tensile_strength': 250.0} | temp_range=[523, 723] | time_range=[30, 120] | min_setpoints={'iacs': 99.5, 'tensile_strength': 210.0} | delta=0.5
2026-07-01 17:35:52,471 | INFO | log_mbc_annealing_uncertainty | Loading surrogate bundles
